ingredient_name,aliases,category,serving_size,direct_cognitive_benefits,indirect_cognitive_benefits,key_nutrients,mechanisms,calories,mind_diet,mediterranean_diet,dash_diet,anti_inflammatory,gut_health/microbiome_support,carbohydrates_gm,glycemic_index,glycemic_load,protein_gm,fiber_gm
Lentils,,Legumes,½ cup cooked (small fist),"Lentils are fiber powerhouses (soluble fiber and resistant starch), feeding gut microbes and producing SCFAs that benefit the brain. A study in elderly showed those who ate more legumes (like lentils) had cognitive performance akin to someone 5 years younger. Lentils also provide polyphenols that cross the blood-brain barrier and reduce inflammation.","Regular lentil consumption improves cholesterol (can lower LDL significantly) and reduces blood pressure (rich in potassium and magnesium). They help stabilize blood sugar levels Ã¢ÂÂ ideal for preventing type 2 diabetes. High in protein and iron, supporting muscle and blood health. Folate in lentils reduces homocysteine, benefiting heart and brain. Including lentils Ã¢ÂÂ¥3x/week is a hallmark of heart-healthy diets (e.g., DASH, Mediterranean).","Protein, fiber, B vitamins, minerals, carotenoids, polyphenols","Heart health, diabetes prevention, antioxidant",yes,yes,yes,yes,yes,prebiotic,22.5,29.0,5,9.0,8.0
Limburger Cheese,,Soft/Semi-Soft FermentedCheese,1 cup,"Limburger is known for its strong odor from Brevibacterium linens used in ripening. These bacteria are similar to skin microbiota. While interesting, no known cognitive benefits; itÃ¢ÂÂs high in fat and should be limited. It does contain some probiotic bacteria on the rind that, if eaten, might transiently add to gut microbes, but evidence is anecdotal.","Limburger provides calcium and protein. The unique bacteria in it create ammonia which gives the smell, but also produce enzymes that pre-digest the cheese making it easier on the stomach for some. Some of those bacterial metabolites (like brevibacteria-derived compounds) might have anti-inflammatory effects, but also high tyramine (careful if on MAOIs). Given its nutritional profile, enjoy as an occasional treat rather than a health food.","Protein, calcium, B vitamins, bioactive peptides, vitamin K2, probiotics (surface-ripened), minerals","Bone health, metabolic health, gut health, immune support",no,yes,no,no,yes,probiotic;postbiotic,0.5,0.0,0,20.0,0.0
Liver,,Meat,3Ã¢ÂÂ4 oz,"Extremely high in B vitamins (B12, folate, B6) and choline Ã¢ÂÂ all crucial for cognitive function and neurotransmitter production. Not a prebiotic, but provides nutrients that support brain health. Some evidence suggests that adequate B12/folate from foods like liver is linked to lower risk of cognitive decline. However, excessive liver not recommended (vitamin A toxicity).","One of the most nutrient-dense foods: very high in vitamin A, iron, zinc, and copper. Can improve anemia (iron, B12) and support immune health (vitamin A, zinc). Due to high cholesterol content, moderation is advised, but occasional consumption can fit in heart-healthy diets (recent evidence suggests dietary cholesterol has modest impact on blood levels for most people).","High-quality protein, B vitamins (B12, riboflavin, niacin), vitamin A, iron (heme), zinc, selenium, bioactive peptides (antioxidant, antihypertensive, antidiabetic), taste-active amino acids, low fat","Antioxidant, immune support, blood health, metabolic health, antihypertensive, antidiabetic",,,,,,no,0.5,0.0,0,20.0,0.0
Low-fat Milk,milk,Low-fat Milk,1 cup,"Plain low-fat milk has no fiber or live cultures (unless fermented), so not directly microbiome-boosting. However, it provides vitamin D and calcium, deficiencies of which are linked to cognitive impairment in older adults. Milk protein supports muscle (important since sarcopenia relates to cognitive decline). If fortified with vitamin B12, can help maintain cognitive function in vegetarians.","Excellent source of calcium for bones and teeth, and provides high-quality protein. Often fortified with vitamin D, supporting immune and heart health. Lower fat means less saturated fat per serving, which is better for cardiovascular health (and thus indirectly brain health). Lactose can act as a mild prebiotic (galactose component), but many people lack lactase. Those tolerant can benefit, whereas others might prefer fermented dairy (yogurt/kefir) for gut health.","Protein, calcium, B vitamins, vitamin D (if fortified), minerals, low fat, minimal sugar","Bone health, muscle maintenance, metabolic health",no,yes,no,no,no,no,11.0,5.0,0,3.4,0.0
Lupins,,Legumes,½ cup cooked (small fist),"Lupin beans are very high in prebiotic fibers (galactans) and protein, with almost no starch. They significantly promote beneficial gut bacteria and have been studied for reducing blood pressure and improving gut function. While research on cognition is scant, their effect on improving metabolic health (glucose, cholesterol) and providing arginine (improves blood flow) suggests they could support brain health indirectly.","Remarkable for glycemic control Ã¢ÂÂ lupin-enriched foods blunt blood sugar spikes. They help lower blood pressure (high arginine content leads to more nitric oxide). Also very satiating, aiding weight loss. Lupin fiber and peptides have cholesterol-lowering properties. One caution: must be prepared properly to remove bitter alkaloids; traditionally pickled. Gluten-free and increasingly used in high-protein flour mixes for metabolic benefits.","Protein, fiber, minerals, B vitamins, polyphenols","Heart health, diabetes prevention, antioxidant",yes,no,yes,yes,yes,prebiotic,6.0,15.0,10,36.0,18.0
Macadamia Nuts,,Nuts,2 oz (small handful),"Macadamias have the highest monounsaturated fat content among nuts and moderate fiber. They have fewer polyphenols than some nuts, but still provide some fiber for gut bacteria. Not as directly studied for cognition, but diets with mixed nuts including macadamia show cognitive maintenance in older adults. Their healthy fats support cerebrovascular health.","Can improve lipid profiles (macadamia-rich diets lowered LDL similar to other nuts). Their fats are heart-healthy, and they contain phytosterols that further improve cholesterol. They are calorie-dense, so moderation is needed for weight. Provide manganese and thiamin (B1) supporting metabolism. Overall, they fit into Mediterranean-style eating which reduces cardiovascular risk.","MUFA, PUFA, polyphenols, proanthocyanidins, vitamin E, fiber","Antioxidant, cholesterol-lowering, heart health",yes,yes,yes,yes,yes,prebiotic,3.5,10.0,0,8.0,9.0
Mackerel,,Fatty Fish,3Ã¢ÂÂ4 oz cooked (palm size),"Mackerel is a fatty fish extremely high in omega-3 DHA/EPA. Regular consumption is linked with slower cognitive decline and lower risk of AlzheimerÃ¢ÂÂs (due to omega-3Ã¢ÂÂs role in reducing neuroinflammation and preserving neuronal membrane integrity). Also provides vitamin D and selenium, important for cognitive health. However, larger mackerel (king mackerel) are high in mercury, so choose smaller Atlantic or Pacific mackerel.",Strong cardio-metabolic benefits: omega-3s lower triglycerides and arrhythmia risk; mackerel also supplies substantial vitamin B12 (for healthy nerves and blood). Frequent oily fish intake (2Ã¢ÂÂ3x/week) is associated with 20Ã¢ÂÂ30% reduction in coronary artery disease mortality. MackerelÃ¢ÂÂs vitamin D supports immune function and bone health. Avoid heavily smoked varieties to limit sodium and possible carcinogens.,"Protein/Essential AA; DHA, Linoleic Acid; Bioactive Peptides; Taurine","Brain, vision, anti-inflammatory, antioxidant, tissue repair, enzyme synthesis, metabolic health, Osmoregulation",yes,yes,yes,yes,yes,no,0.0,0.0,0,19.0,0.0
Millet,,Whole Grains,½ cup cooked / 1 slice bread (½ fist),"Millet is a gluten-free whole grain with a good amount of fiber and resistant starch. It supports a diverse gut microbiome and has a low glycemic response, providing steady glucose for the brain. Rich in magnesium which is linked to improved learning and memory (via NMDA receptor regulation). Populations consuming millet (in Africa/Asia) have lower incidence of type 2 diabetes and possibly stroke, benefiting brain health indirectly.",Consuming millet can improve HbA1c and insulin sensitivity in diabetics. ItÃ¢ÂÂs also rich in phytochemicals like ferulic acid that contribute antioxidant effects. Millet proteins may have ACE-inhibitory (blood pressure lowering) peptides upon digestion. ItÃ¢ÂÂs a staple that contributes to food security and is usually well-tolerated (less allergenic). Contains iron and zinc for immunity. Soaking/fermenting millet before cooking can improve mineral bioavailability by reducing phytic acid.,"Fiber, protein, B vitamins (notably thiamine), minerals, carotenoids, phenolic compounds","Antioxidant, metabolic health, digestive health",yes,yes,yes,no,no,prebiotic,37.5,71.0,60,11.0,8.0
Miso,,Legumes,½ cup cooked (small fist),"Miso is a fermented soybean paste rich in probiotic organisms (if unpasteurized) such as Lactobacilli and Aspergillus oryzae. Even when added to hot soup (some microbes might die), it provides postbiotic metabolites (peptides, isoflavone aglycones) that reduce inflammation. Regular miso consumption in Japanese diet is associated with lower rates of cognitive impairment, potentially due to vascular benefits of soy and fermentation peptides.",Miso soup intake is linked to reduced gastric cancer risk (despite salt content) possibly due to protective fermentation compounds. Fermented soy in miso can lower blood pressure (ACE-inhibiting peptides) and improve cholesterol profiles. ItÃ¢ÂÂs a good source of vitamin KÃ¢ÂÂ and antioxidants like ferulic acid. High sodium is a concern Ã¢ÂÂ but some evidence suggests misoÃ¢ÂÂs salts may have less hypertensive effect than plain salt (possibly due to accompanying nutrients). Use lower-sodium miso or small amounts for flavor.,"Protein, isoflavones, vitamin K2, peptides, probiotics","Heart health, bone health, antioxidant",35,no,no,no,yes,prebiotic;probiotic;postbiotic,6.0,30.0,31,12.0,5.0
Mozzarella Cheese (if fermented),mozzarella cheese,Soft/Semi-Soft FermentedCheese,1 cup,"If traditionally cultured, fresh mozzarella has live lactic acid bacteria (though in smaller numbers compared to yogurt). It is a young cheese, so some active cultures may remain. No specific cognitive benefit known, but as part of a Mediterranean diet (e.g., in caprese salad), it can fit without adverse effect. Offers protein beneficial for neurotransmitter production.","Mozzarella (especially part-skim) is lower in fat and sodium than many cheeses. Good source of calcium and protein. Its probiotics (if present) can support gut health; one study found mozzarellaÃ¢ÂÂs Lactobacillus survived digestion better than other cheese strains due to the moist matrix. Being mild, it pairs well with tomatoes/olive oil which have their own health benefits. Overall, a reasonable cheese choice in moderation for cardiovascular health.","Protein, calcium, B vitamins, bioactive peptides, minerals, probiotics (if fermented)","Bone health, muscle support, gut health, metabolic health",85,no,yes,No,yes,probiotic;postbiotic,0.5,0.0,0,22.0,0.0
